DRUM (plug-in),DRUM,naive,duchi
1.1390861619873611,0.94280044729371,2.847458261729316,2.647559286101513
1.1725610463676006,1.0186604920723155,3.0172528136398635,2.8017005958672736
1.1462467816234867,0.9613135622670119,2.9149517917625873,2.731769780324404
1.0526070005329202,0.9236169779030551,2.1613484912296337,1.9776234914360333
1.0782838562496393,0.9032412168436194,2.6615979475229237,2.461342799668205
0.7247426006074922,0.7054454267665403,1.555694875250526,1.4385636057159963
1.176951895205786,1.010626029700835,2.78815573631606,2.5722219923316048
1.1659253462422796,1.015554017491135,2.837063644207022,2.6330115518896338
1.0773854502013167,0.8953613834099949,2.7362588173773355,2.547705598537817
0.9092473344600946,0.7923816952967504,2.5360004508657252,2.334598776997557
1.0355139513509932,0.8948499804445116,2.6924640469298824,2.496596970249664
1.1595340750077052,0.9531286947418274,3.0570170904408354,2.837201258630951
0.9173288987720805,0.780837464459269,2.3293383249632726,2.145007926333412
0.9244437281437576,0.8056308930676906,2.5627336646218732,2.4003356457280374
0.8091615760640859,0.799121849859485,1.5217757348982595,1.3697681253087426
0.6362805412235502,0.6177516374792972,1.5157898756688173,1.3860340807227487
1.3840528056881054,1.1656435830214018,3.410935496970591,3.1790030433556837
0.91550342768061,0.8289494326202185,2.3362840429242064,2.151842451460286
1.4084208758160501,1.1720607876733795,3.4885619642697114,3.2650832167621764
0.8518741258331981,0.8521162509098656,1.6694651719792055,1.512113620793243
0.9164257957065599,0.7717768769746359,2.447034569285224,2.2877628689410123
0.7598412409296825,0.7147538606576359,1.8236540076400258,1.7083845045802217
0.8940160162801357,0.8594917802280876,2.0779151455040554,1.9122843958126143
0.9764620038318332,0.8635727252850512,2.4526662819747784,2.2498164124563265
0.8728630719014893,0.8194913056906598,2.3048175434442264,2.154087025205572
0.9279046626801368,0.8196020869677599,2.3209581377113517,2.1320339367624297
1.253180937233111,1.040904452032398,2.898704941013873,2.6943282096636914
1.5232013003219707,1.3006283790166204,3.7313120971659828,3.5124902065380894
1.208373988471372,1.1636980428619117,2.1222154859594715,2.0011450582255756
0.8741456401928749,0.8088985381577806,1.8179711245838652,1.661350809618265
0.9537749119164664,0.7786331772124279,2.485303288627755,2.3053350428070756
1.0606691038517861,0.9585818951132712,2.5921406371932765,2.4011702123298875
1.0127547534258856,0.8946212550015474,2.540909697397943,2.371676620169369
0.9898985872436844,0.8840007814354967,2.2055409683621106,2.0543602144473625
0.851007147471609,0.7502368396028943,2.1661327529946686,2.01945516638741
1.2590442526164136,1.0379430691504132,3.218604910442823,3.02705440553567
0.9271489584999942,0.8037272565547924,2.476404107122446,2.29828458960105
1.1278980876376372,1.015485710682619,2.9350810031896644,2.726754247405333
0.9950900582861258,0.9398798117599292,2.4722762920375856,2.3088796477714904
1.367555504030757,1.1517598365880068,3.3461118118608013,3.1249218709236524
1.1768618679506622,0.9459442858648448,3.0250144512623405,2.830462761369294
1.2412599120462686,1.0843934640193806,2.8420466973037093,2.6165032790300935
1.0782623510153102,0.9423632440684374,2.6934893609816086,2.485690581755295
0.9308541865798591,0.8392101231481127,2.330589057699625,2.1723161526400925
0.9406139896350356,1.0133500696424635,1.5677890647530395,1.454847082882855
0.8788837255911939,0.8332029562038538,2.3459150262313324,2.189676741303832
1.0258473315563132,0.9244169889921884,2.188529843794174,1.9709035980492957
0.9047756499274603,0.7931022309453393,2.4938855119031396,2.330815470623362
1.2258030028323599,1.1247914565758352,2.904854089189171,2.710239413749675
1.0447438436062468,0.8764492386936582,2.648984456025722,2.4522784937031306
1.4231817350715177,1.176748815073029,3.4564670803471915,3.2199373920162317
0.9729022284788531,0.8302796476758165,2.1865101113350947,2.03374553680005
0.875598416464439,0.8231955000951836,1.9053612841916208,1.7812377764753615
1.5262467154046224,1.3010846853964495,3.7180149287828628,3.496561324506182
1.2227795771017627,1.0323949278015185,3.095605437102649,2.9137259906862543
1.0504933738213333,0.9469088752112526,2.7479017939092074,2.571556315935351
1.293778576536819,1.1728539452757551,2.4257457106872957,2.2293606394786294
1.284622041171292,1.1355300936478079,3.157299008112754,2.965403227997088
0.9604411534261441,0.8379512694724344,2.3355550200789854,2.2073112120589373
0.8043238360719278,0.732050249098014,1.8669089505876155,1.6995443076361685
0.8950203516366326,0.8397802728945624,2.117729113782073,1.9708463756349328
0.7832253218415886,0.7690808648157841,1.7507612403749828,1.6217450358046432
0.7232554312020422,0.6850892877861195,1.7267378333716876,1.6053678580683957
0.9636843066729623,0.8297277773183295,2.4801602305865194,2.2941439830817663
1.013748594651116,0.8486272466467522,2.3580289444320592,2.156020256814669
1.1739489832462369,1.004691137451775,3.0705472391457977,2.886964267030625
