perturbation_scale,source_var,worst_DRUM (plug-in),mean_DRUM (plug-in),median_DRUM (plug-in),q95_DRUM (plug-in),worst_DRUM,mean_DRUM,median_DRUM,q95_DRUM,worst_naive,mean_naive,median_naive,q95_naive,worst_duchi,mean_duchi,median_duchi,q95_duchi,train_seed
0.5,5.694392702917075,1.534733196423356,1.1069104403720682,1.1038945382933645,1.3689222664124732,1.442745486772039,1.0438050868385371,1.0401579396856224,1.2969802290744177,3.643966407149157,2.8296166546943295,2.825640238123528,3.350336150622176,3.430798565723786,2.6536906563115106,2.6490596936254303,3.1513643063384658,1
1.0,5.694392702917075,1.8237418551533595,1.0561799380906611,1.0399002276940617,1.4600613894784933,1.75451874609273,1.013272764248216,0.9939597711315588,1.4003002881154738,4.1685797835672025,2.6789518228239912,2.6742208990237333,3.5256891671070583,3.938682196060479,2.5163012155143294,2.513790331618682,3.3376750558501365,1
1.5,5.694392702917075,1.919518714949284,1.0687353610125443,1.0360742931949811,1.4819894088500214,1.872744142946332,1.059655511222925,1.0364430998603278,1.4370074291752213,4.319165225411717,2.5197699095014054,2.4956279592304806,3.5521405871068032,4.08986764860092,2.37994797732816,2.3545656457654385,3.351691920724368,1
0.5,6.2667937081378975,1.476261096721569,1.0547762678794657,1.059195681407476,1.3052143889969032,1.3961062821507635,0.99200851433748,0.9866998676394384,1.2363911991799572,3.4281981329367444,2.6207259226869666,2.6234349205052134,3.1131829596510663,3.0548886056960254,2.3216990164621434,2.3225006980312086,2.7752561042762323,2
1.0,6.2667937081378975,1.6830746741553029,0.9987698056326304,0.986219550211474,1.3838772467347888,1.6191409340722094,0.9624084519697031,0.9484545234702222,1.3370072562157118,3.7986918869959494,2.4781014031156325,2.4767366298416187,3.281807991943072,3.4096823890649883,2.2027830836625437,2.195831243773398,2.9433956820780836,2
1.5,6.2667937081378975,1.7300405138467332,0.991511960383586,0.9592282666234422,1.378793512546781,1.7116622997900033,0.9984950123423844,0.9786128049841328,1.3740058930104202,3.893331661906055,2.3251375639271656,2.3066996182543544,3.2865878913303903,3.514888394070882,2.089571140864253,2.068010410278254,2.9443892946772867,2
0.5,6.180454326906306,1.476770998026977,1.093378133166191,1.0896037228468771,1.3410215152532956,1.227283018517498,0.8965544684067315,0.8929872211403129,1.1079394641227964,3.561190977872995,2.8269503033782253,2.837680263002703,3.3178399095382383,3.3511114743290635,2.639989755665405,2.649327622884087,3.116467163159449,3
1.0,6.180454326906306,1.6912688090797767,1.035172960344762,1.0234899903714625,1.412765786434269,1.428960270662218,0.8704852655799306,0.8521421887008778,1.191627763139238,3.971656947151651,2.6675539591191217,2.6758952028982295,3.493275329418829,3.737690140563846,2.484248904913567,2.4934733069259005,3.276371593114723,3
1.5,6.180454326906306,1.701828467862905,1.026408225400981,1.0007323589461266,1.4077036553002444,1.466323736119697,0.9157911700866384,0.9016666722388064,1.231675501682023,3.982961207562559,2.4850965584359654,2.4760203852010765,3.4572144177734483,3.7415305122936657,2.307904732389287,2.2932542916054803,3.2340831897036777,3
0.5,6.682622410036973,1.682631456845984,1.197741922135239,1.189628955431732,1.4765357935569168,1.353407981852358,0.936303503311918,0.9269474388674606,1.1768532411310884,3.778930346557339,2.9100939261305734,2.9158997179465604,3.441133652974299,3.4600986926098005,2.640397473752976,2.6446443031191067,3.145752384020731,4
1.0,6.682622410036973,1.936599896837268,1.130703147724289,1.1183917877016905,1.5826525961999507,1.6090112768433993,0.9129941823320462,0.8934616621884133,1.2855489238901905,4.243900680594799,2.750228651484305,2.7679288738337977,3.636435473839488,3.9169465977871303,2.502298662801894,2.509142944011062,3.3322371870811596,4
1.5,6.682622410036973,1.990736593899458,1.1077068002273525,1.0763905083416248,1.5679772193588952,1.7042840144508784,0.963680326224885,0.943998721426075,1.3267342956415435,4.341717266923157,2.5656168449544747,2.5307996485464974,3.653833233166221,4.026286409467325,2.354941902829108,2.3315387594665573,3.3850629591978505,4
